direction,train_no,destination_station,service,start_station,start_time,transfer_station,transfer_time,arrival_station,arrival_time,seat
順行,區間2254,往:基隆,每日行駛。,3390-員林,19:02,,,,,
順行,自強144,往:基隆,每日行駛。本班次第12車為親子車廂，不發售無座票，非持親子車廂車票旅客，或不符合親子、孕婦身分旅客請勿進入搭乘。乘車時須配合證件正本(如媽媽手冊、可證明孩童年紀等證件)查驗。,3390-員林,19:13,,,,,
順行,自強(3000)146,往:七堵,每日行駛。本班次第6節為騰雲座艙、9-11節車廂為自由座車廂，非持本班次車票旅客，請勿搭乘。 第6節騰雲座艙，為本公司公告指定不發售無座位車票之車廂，持當日當次騰雲座艙車票旅客始可搭乘。 持電子票證、定期票及非本次車票請勿搭乘,3390-員林,19:23,,,2200-大甲,20:08,▲ reserved
順行,區間3228,往:后里,每日行駛。,3390-員林,19:31,,,,,
順行,區間快3028,往:彰化,每日行駛。,3390-員林,19:41,,,,,
順行,自強(3000)168,往:七堵,每日行駛。本列次不發售無座票，非持本班次車票旅客，請勿搭乘。 第6節為騰雲座艙，為本公司公告指定不發售無座位車票之車廂，持當日當次騰雲座艙車票旅客始可搭乘。 持電子票證、定期票及非本次車票請勿搭乘,3390-員林,19:51,,,,,▲ reserved
順行,區間2264,往:北湖,每日行駛。,3390-員林,19:56,,,,,
順行,區間2272,往:豐原,每日行駛。,3390-員林,20:08,,,,,
順行,區間3238,往:后里,每日行駛。,3390-員林,20:21,,,,,
順行,自強150,往:七堵,每日行駛。,3390-員林,20:32,,,,,
順行,區間2274,往:北湖,每日行駛。,3390-員林,21:03,,,,,
順行,自強152,往:汐止,每日行駛。在臺北跨日。,3390-員林,21:14,,,,,
順行,自強(3000)386,往:臺中,每日行駛。本列次不發售無座票，非持本班次車票旅客，請勿搭乘。 第6節為騰雲座艙，為本公司公告指定不發售無座位車票之車廂，持當日當次騰雲座艙車票旅客始可搭乘。 持電子票證、定期票及非本次車票請勿搭乘,3390-員林,21:35,,,,,▲ reserved
順行,區間3248,往:新竹,每日行駛。,3390-員林,21:40,,,,,
順行,區間3252,往:新竹,每日行駛。在竹南跨日。,3390-員林,22:05,,,,,
順行,自強(3000)196,往:臺中,每日行駛。本班次第6節為騰雲座艙、9-11節車廂為自由座車廂，非持本班次車票旅客，請勿搭乘。  第6節騰雲座艙，為本公司公告指定不發售無座位車票之車廂，持當日當次騰雲座艙車票旅客始可搭乘。 持電子票證、定期票及非本次車票請勿搭乘,3390-員林,22:21,,,,,▲ reserved
順行,區間快2728,往:彰化,每日行駛。※配合集集線隧道及邊坡改善工程施工，本公司集集站至車埕站間路線停駛，改以公路客運接駁。,3390-員林,22:31,,,,,
順行,區間3262,往:后里,每日行駛。在后里跨日。,3390-員林,22:56,,,,,
順行,區間2294,往:彰化,每日行駛。,3390-員林,23:11,,,,,
順行,區間3268,往:彰化,每日行駛。,3390-員林,23:31,,,,,
